1,Acrobatics,AG,QU,,AG/QU,athletic,NULL,3,2/7,2/5,1/3,1/2,2/5,2/5,1/4,5,1/3,2/6,1/3,2/6,2/5,3,1/4,1/5,1/3,2/6,2/6,2/7,3,3,3,3,3,3,2/7,2/7,2/7,2/7,3/7,5,3/7,3/7,3,3/7,3,3,3,4,1/4,2/5,NULL,NULL,NULL,NULL,NULL
2,Acting,PR,EM,,PR/EM,subterfuge,NULL,3/6,2/7,2/6,2/5,2/5,2/6,2/5,1/3,2/5,2/5,1/3,2/5,1/5,2/6,3/6,2/6,2/6,2/5,3/6,2/6,3/6,3/6,2/7,3/6,3/6,3/5,1/3,2/7,2/7,2/7,2/7,2/6,2/6,2/6,2/6,2/7,2/6,1/2,2/5,1/4,2/7,1/3,2/6,NULL,NULL,NULL,NULL,NULL
3,Administration,RE,PR,,RE/PR,academic,NULL,2/5,6,7,2/6,2/5,2/6,6,2/6,1/3,2/5,1/3,3/7,1/5,7,2/5,2/6,3/7,2/5,2/5,5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/4,6,2/5,6,2/5,1/2,2/5,2/5,2/5,2/5,2/5,2/5,2/4,5,2/6,5,NULL,NULL,NULL,NULL,NULL
4,Adrenal Move: Balance,PR,SD,,PR/SD,concentration,NULL,6,5,2/4,1/3,1/2,2/6,1/3,2/6,5,2/6,2/6,1/3,2/7,2/7,2/7,1/4,2/4,2/7,3/9,2/7,3/7,5,5,6,6,6,6,5,5,5,5,3,7,3,3,5,5,5,5,5,5,3/8,2/6,NULL,NULL,NULL,NULL,NULL
5,Adrenal Move: Landing,PR,SD,,PR/SD,concentration,NULL,6,5,2/4,1/3,1/2,2/6,1/3,2/6,5,2/6,2/6,1/3,2/7,2/7,2/7,1/4,2/4,2/4,3/9,2/7,3/7,5,5,6,6,6,6,5,5,5,5,3,7,3,3,5,5,5,5,5,5,3/8,2/6,NULL,NULL,NULL,NULL,NULL
6,Adrenal Move: Leaping,PR,SD,,PR/SD,concentration,NULL,6,5,2/4,1/3,1/3,2/6,1/3,2/6,5,2/6,2/6,1/3,2/7,2/7,2/7,1/4,2/4,2/4,3/9,2/7,3/7,5,5,6,6,6,6,5,5,5,5,3,8,3,3,5,5,5,5,5,5,3/8,2/6,NULL,NULL,NULL,NULL,NULL
7,Adrenal Move: Quick Draw,PR,SD,,PR/SD,concentration,NULL,4,3,1/4,1/2,1/2,2/4,1/2,2/4,4,2/4,2/4,1/2,2/4,1/4,2/4,1/4,1/4,1/4,2/4,2/4,2/4,5,3,4,4,4,4,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3/8,2/6,NULL,NULL,NULL,NULL,NULL
8,Adrenal Move: Speed,PR,SD,,PR/SD,concentration,NULL,6,5,2/4,1/3,1/3,2/6,1/3,2/6,5,2/6,2/6,1/3,2/7,2/7,1/3,2/4,2/4,2/4,3/9,2/7,3/7,5,5,6,6,6,6,5,5,5,5,3,7,3,3,5,5,5,5,5,5,3/8,2/6,NULL,NULL,NULL,NULL,NULL
9,Adrenal Move: Strength,PR,SD,,PR/SD,concentration,NULL,6,5,2/4,1/3,1/5,2/6,1/3,2/6,5,2/6,2/6,1/3,2/7,2/7,2/7,1/5,2/4,2/4,3/9,2/7,3/7,5,5,6,6,6,6,5,5,5,5,3,8,3,3,5,6,5,5,5,5,3/8,2/6,NULL,NULL,NULL,NULL,NULL
10,Advanced Math,RE,ME,,RE/ME,academic,NULL,2/5,3/7,7,3/7,5,4/8,7,4/7,1/4,3/8,2/4,4/7,3/6,7,3/6,3/7,3/6,3/8,3/7,3/7,3/7,3/7,3/6,3/7,2/6,3/7,3/5,3/6,3/7,3/6,3/7,3/5,1/3,3/6,3/6,2/3,3/7,3/6,3/7,3/7,3/7,4/7,3/7,NULL,NULL,NULL,NULL,NULL
11,Advertising,IN,RE,,IN/RE,general,NULL,3/5,2/6,4,2/4,1/4,3/6,6,2/4,1/4,2/4,2/6,1/5,1/5,3/6,3/6,1/4,3/6,3/5,3/6,3/6,3/6,3/6,3/6,3/5,3/6,3/6,2/4,2/5,2/6,2/6,1/4,3/6,1/4,3/5,3/5,3/6,3/6,3/6,3/6,2/4,1/4,2/4,3/6,NULL,NULL,NULL,NULL,NULL
12,Alchemy,RE,ME,,RE/ME,academic,NULL,1/3,2/6,3/9,2/6,3/7,3/7,3/6,3/5,1/4,2/6,2/5,3/9,2/4,3/5,1/4,3/7,2/5,2/6,2/7,3/7,3/5,2/4,2/5,2/4,2/6,2/5,2/7,2/4,3/6,3/6,3/6,1/2,1/3,2/6,2/6,2/4,3/5,2/4,2/6,2/6,1/4,3/5,3/7,NULL,NULL,NULL,NULL,NULL
13,Ambush,NA,,,NA,deadly,NULL,9,6,2/5,1/3,2/5,3/8,2/5,2/5,3/9,1/3,4,3/9,6,3,6,3,4,3,9,3,9,,9,9,9,7,5,9,6,9,9,9,9,9,9,9,9,4,9,6,9,1/2,3/8,NULL,NULL,NULL,NULL,NULL
14,Animal Handling,EM,PR,,EM/PR,outdoor,NULL,2/5,1/2,1/3,3/6,2/7,1/4,2/6,1/4,2/5,2/5,1/3,2/6,1/5,1/2,2/5,3,2/5,2/5,1/4,1/3,1/5,4,2/7,2/5,2/5,2/4,2/5,2,1/2,2,2/4,2,3,2,2,2,3,2/6,2,2/4,1/4,3,1/3,NULL,NULL,NULL,NULL,NULL
15,Animal Healing,EM,RE,,EM/RE,medical,NULL,2/5,1/4,2/6,2/6,2/6,2/6,2/6,2/5,2/5,2/6,2/6,2/5,2/5,2/6,2/5,2/5,2/5,1/5,2/5,2/6,2/6,,2/6,2/6,2/6,2/6,2/6,1/5,1/4,1/3,1/2,1/2,2/5,2/6,2/5,2/6,4,2/5,2/6,3/6,2/4,3,2/6,NULL,NULL,NULL,NULL,NULL
16,Animal Training,EM,PR,,EM/PR,outdoor,NULL,4,1/3,1/3,3/8,2/7,3/7,3/8,3/6,2/6,3/7,1/4,3/8,3/7,1/2,4,3,4,3/8,3/7,3/7,2/6,4,4,4,4,4,4,4,1/3,4,4,3,3,3,3,4,4,4,4,4,2,3,3/7,NULL,NULL,NULL,NULL,NULL
17,Anthropology,IN,EM,,IN/EM,academic,NULL,2/5,2/5,7,3,3,3,3/7,3,1/4,3,3,2/6,1/4,6,1/5,3,2/6,3/6,2/6,2/6,2/6,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,1/3,2/5,2/5,2/5,2/7,2/5,2/5,1/5,2/5,3,2/6,NULL,NULL,NULL,NULL,NULL
18,Appraisal,RE,ME,,RE/ME,general,NULL,1/2,2,3/6,1/2,1/4,2/5,2/5,2/4,1/4,1/4,1/2,2,1/3,2/5,1/2,3,2/5,1/4,1/4,1/4,3/7,3/7,2,3/7,3/7,3/7,3/7,2,2,2,2/4,2,2/5,2,2/5,2,2/5,3/5,2,2,2,2/4,1/4,NULL,NULL,NULL,NULL,NULL
19,Architecture,RE,ME,,RE/ME,academic,NULL,2/5,3/6,5,2/5,3,3/6,4,2/5,1/3,2/4,2/5,3/6,2/5,5,2/5,4,3/6,2/4,2/5,3/6,3/5,2/5,2/5,2/5,2/5,2/5,2/5,2/4,3/6,2/5,3/6,2/5,1/3,2/5,2/5,2/5,4,2/5,2/5,4,2/5,2/5,3/6,NULL,NULL,NULL,NULL,NULL
20,Armor Evaluation,IN,RE,,IN/RE,general,NULL,1/3,2,1/3,1/3,2/7,1/2,2/5,1/3,3,1/3,1/3,3,2/5,1/2,1/3,6,3/6,1/3,1/3,1/4,2/4,4,3/6,4,4,3,4,2,2,2,2,5,4,3,2/6,4,3/7,3,3,3,3,1/3,1/4,NULL,NULL,NULL,NULL,NULL
21,Astronomy,ME,RE,,ME/RE,academic,NULL,3/7,2/4,3/7,3/7,3/7,3/7,7,3/7,1/4,3/7,2/5,3/7,3/6,3/7,3/5,3/7,3/6,3/7,3/6,3/5,2/8,3/7,2/5,3/7,3/7,2/5,3/7,2/4,2/4,2/5,2/4,3/7,1/3,3/7,2/4,2/3,6,2/5,3/6,1/5,2/4,3/7,3/5,NULL,NULL,NULL,NULL,NULL
22,Athletic Games,ST,AG,QU,ST/AG/QU,athletic,NULL,7,4,1/4,1/5,1/4,1/4,1/5,1/5,7,1/5,2/6,1/5,2/6,1/5,3/7,3/6,1/5,2/6,1/5,1/4,2/6,7,7,6,7,6,7,5,3,6,7,6,9,5,4,7,8,7,7,4,7,1/5,1/4,NULL,NULL,NULL,NULL,NULL
23,Attunement,EM,IN,,EM/IN,magical,NULL,1/3,2/6,8,7,8,9,7,8,4,7,5,9,6,6,5,6,5,7,9,6,3/7,1/4,2/5,1/4,1/4,1/4,1/4,2/5,2/5,3/7,2/5,2/6,2/5,2/5,2/6,2/6,2/5,2/5,2/5,2/5,2/5,9,6,NULL,NULL,NULL,NULL,NULL
24,Basic Math,RE,ME,,RE/ME,academic,NULL,1/4,2/6,3/7,2/6,3/9,3/7,6,3/6,1/4,2/7,1/3,3/6,2/5,3/6,2/5,2/6,2/5,2/7,2/6,2/6,2/6,2/6,1/5,2/6,1/5,2/6,2/4,2/5,2/6,2/6,2/6,2/4,1/2,2/5,2/5,1/2,2/6,2/5,2/6,2/6,2/6,3/6,2/6,NULL,NULL,NULL,NULL,NULL
25,Beast Mastery,EM,PR,,EM/PR,outdoor,NULL,5,2/5,3/7,5,3/8,4,4,4,4,4,4,4,4,1/2,5,4,4,5,4,4,4,2/5,5,4,4,4,4,5,2/4,5,3/6,4,4,4,4,5,5,4,5,1/4,2/5,4,4,NULL,NULL,NULL,NULL,NULL
26,Begging,PR,EM,,PR/EM,subterfuge,NULL,2/6,3/6,3/7,1/4,1/5,2/6,3/7,2/4,2/4,1/4,1/4,2/6,1/5,2/6,2/6,1/4,2/6,1/4,3/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,3/6,2/6,2/6,2/5,2/7,2/5,2/5,2/5,4,2/4,2/6,2/6,2/6,2/4,2/6,NULL,NULL,NULL,NULL,NULL
27,Biochemistry,IN,RE,,IN/RE,academic,NULL,5,2/5,4,5,4,5,5,5,1/4,5,5,5,5,4,5,4,5,5,5,5,3/5,5,7,5,5,5,5,5,2/5,2/4,2/7,2/4,1/3,5,5,5,3/7,5,6,2/6,2/6,5,5,NULL,NULL,NULL,NULL,NULL
28,Boat Pilot,ME,AG,,ME/AG,academic,NULL,2/6,1/5,1/3,2/6,3/7,2/6,3/6,2/6,1/4,2/6,2/3,2/6,2/6,2/4,2/6,3/7,2/6,2/6,2/6,1/4,2/5,2/6,2/6,2/6,2/6,2/6,2/6,2/5,1/5,3/6,2/5,2/6,1/3,2/6,1/4,2/4,3/7,2/6,2/6,3/7,2/5,2/6,1/4,NULL,NULL,NULL,NULL,NULL
29,Body Damage Stablize,SD,EM,,SD/EM,concentration,NULL,3/5,2/4,3/6,2/5,3/6,3/8,1/4,3/7,3/6,3/6,3/8,1/4,2/5,2/5,1/4,1/5,1/3,1/3,1/5,1/4,3/6,3,2/5,3/5,3/5,2/6,3/5,1/4,2/4,1/2,1/2,1/2,3/5,1/4,1/3,2/5,3/7,1/3,2/5,1/4,2/4,3/7,1/4,NULL,NULL,NULL,NULL,NULL
30,Body Development,CO,,,CO,body development,NULL,6,4,1/3,3/7,1/5,1/3,2/7,2/5,7,3/7,2/6,2/7,3/8,2/7,4/7,2/6,3/7,3/8,2/5,2/7,2/8,8,8,8,8,7,8,6,4,1/3,2/4,6,6,6,6,6,8,8,8,8,6,2/7,1/5,NULL,NULL,NULL,NULL,NULL
31,Brawling,RE,IN,,RE/IN,arms,NULL,18,7,2/5,2/7,3/5,2/6,8,1/5,18,2/7,2/5,8,5,2/6,18,5,8,2/7,3/6,5,6,18,18,18,18,18,18,7,5,18,18,8,20,8,15,18,20,18,18,15,18,2/7,2/6,NULL,NULL,NULL,NULL,NULL
32,Bribery,PR,RE,,PR/RE,subterfuge,NULL,2/6,3/6,3/7,1/3,1/4,2/6,2/5,3/5,3/8,2/4,2/4,1/4,1/3,2/6,1/5,2/6,2/6,1/4,3/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,3/6,2/6,2/6,2/5,1/5,2/5,2/5,2/5,2/4,2/4,2/6,1/4,2/6,1/4,2/6,NULL,NULL,NULL,NULL,NULL
33,Camouflage,RE,IN,,RE/IN,subterfuge,NULL,6,3,1/4,3/7,2/6,2/5,3/5,1/3,3/7,1/3,2/5,2/4,2/7,2/5,6,2/6,2/7,1/3,2/5,1/5,2/7,5,6,5,5,5,3,5,3,6,6,6,6,5,6,6,4,2,6,3,6,1/3,1/5,NULL,NULL,NULL,NULL,NULL
34,Caving,SD,RE,,SD/RE,outdoor,NULL,3,2/7,2/6,1/4,2/6,2/6,6,2/4,2/6,1/4,2/6,2/5,2/6,2/6,3/6,2/6,2/6,3/6,3/6,2/6,3/7,3,3,3,3,3,3,2/7,2/7,2/7,2/7,3,3,3,1/2,3,1/3,3,2/5,3,2/7,2/4,2/6,NULL,NULL,NULL,NULL,NULL
35,Channeling,IN,,,IN,magical,NULL,7,2/5,25,20,19,25,20,20,15,20,20,19,13,13,13,2/7,13,20,3,3,10,2/5,2/5,7,7,7,7,1/4,2/5,2/5,1/5,8,8,8,8,1/5,8,8,2/5,2/6,1/4,20,25,NULL,NULL,NULL,NULL,NULL
36,Circle Lore,ME,RE,,ME/RE,magical,NULL,2/4,1/4,7,4,5,6,4,5,3/6,4,6,5,3/6,6,2/4,3/8,3/6,4,3/6,3/6,2/7,1/4,1/4,1/4,1/3,1/3,2/4,2/4,1/5,2/5,2/4,2/5,1/4,2/5,2/7,2/5,2/4,2/5,2/5,1/4,1/4,6,6,NULL,NULL,NULL,NULL,NULL
37,Climbing,AG,,,AG,athletic,NULL,7,4,2/6,1/3,2/5,3/7,2/6,3/7,6,2/5,4,3/7,3/9,2/5,3/7,2/5,3/7,3/7,6,3/9,3/9,7,7,6,7,6,7,5,4,6,5,6,7,5,4,7,5,7,7,4,5,1/5,3/7,NULL,NULL,NULL,NULL,NULL
38,Contortions,AG,SD,,AG/SD,athletic,NULL,5,2/6,2/6,1/3,1/2,2/6,2/5,2/4,4,1/3,2/6,1/2,2/5,2/6,5,1/4,2/4,1/3,2/5,2/6,3/7,5,5,5,5,5,4,3/7,2/6,2/6,2/6,3,4,3,3,5,2/6,4,5,4,3/7,1/3,2/6,NULL,NULL,NULL,NULL,NULL
39,Control Lycanthropy,SD,,,SD,concentration,NULL,3/6,2/4,2/4,1/3,2/6,2/6,1/3,2/6,3/7,2/6,2/6,1/3,2/6,2/6,2/6,1/3,2/6,2/6,1/4,2/6,2/6,1/3,2/5,1/4,2/4,1/5,2/4,1/4,2/4,1/2,1/2,1/4,3/7,1/4,1/2,2/5,2/6,1/3,2/4,1/2,2/4,2/6,2/6,NULL,NULL,NULL,NULL,NULL
40,Cookery,RE,AG,,RE/AG,general,NULL,1/2,1/4,2/5,1/5,1/5,2/5,6,2/5,1/4,1/5,1/3,2/5,2/6,2/5,1/3,2/6,2/6,1/5,2/6,2/4,2/6,2/6,2/4,2/6,2/6,2/6,2/6,2/4,1/4,1/5,2/4,1/2,2/5,2/6,2/6,2/6,2/5,2/6,2/5,2/4,1/2,2/4,2/5,NULL,NULL,NULL,NULL,NULL
41,Crafting,AG,SD,,AG/SD,general,NULL,1/2,2/6,2/6,1/4,2/5,2/5,2/5,2/4,1/5,1/5,1/4,2/5,3/5,2/4,1/3,3,1/4,2/6,2/4,2/4,2/5,2/5,2/6,2/5,1/5,2/4,2/4,2/6,2/6,2/6,2/6,3/6,2/6,2/4,2/5,2/6,2/6,2/6,2/5,2/6,2/6,2/4,2/4,NULL,NULL,NULL,NULL,NULL
42,Dance,AG,IN,,AG/IN,athletic,NULL,2/6,1/5,2/6,2/4,1/2,2/6,6,2/4,2/6,2/4,2/6,2/4,1/3,2/6,2/6,1/5,1/5,2/4,2/5,2/5,2/6,2/6,2/7,2/6,2/6,2/6,2/6,1/5,1/5,2/4,1/4,2/6,2/6,2/6,2/5,2/5,2/6,2/4,2/6,2/6,1/4,2/4,2/6,NULL,NULL,NULL,NULL,NULL
43,Demon/Devil Lore,ME,RE,,ME/RE,academic,NULL,1/3,1/4,5,3,3,5,4,4,1/4,3,4,4,2/5,5,1/4,2/4,1/3,3,2/4,2/5,2/6,1/2,1/2,1/2,1/3,1/3,1/2,1/3,1/4,2/5,1/3,2/6,1/3,1/4,1/4,2/5,2/4,1/3,1/3,1/3,1/2,4,2/5,NULL,NULL,NULL,NULL,NULL
44,Detect Traps,IN,,,IN,perception,NULL,2/5,3,2/5,1/2,1/4,2/4,1/4,1/3,2/4,1/2,1/4,1/4,1/4,2/4,2/5,3/7,2/5,1/2,1/4,1/3,2/6,3,3,3,3,3,1/4,3,2/4,3,3,3,3,3,1/4,2/5,3/6,,3,1/4,3,1/3,1/3,NULL,NULL,NULL,NULL,NULL
45,Diagnostics,IN,RE,,IN/RE,medical,NULL,2,1/4,3,3,1/5,3,2/5,3,2/5,3,3,2/5,1/4,3,2,2/5,1/4,3,1/4,1/4,3,2,3/6,3/6,3/6,3/6,3/6,2/5,1/4,1/2,1/3,1/2,1/5,3/6,2/5,3/6,2/6,3/5,2/4,3/6,2/5,3,3,NULL,NULL,NULL,NULL,NULL
46,Diplomacy,PR,IN,,PR/IN,social,NULL,2/5,2/5,3/6,2/4,2/4,2/5,2/4,2/5,1/4,2/5,1/3,2/5,1/4,2/5,2/5,2/6,2/6,2/5,1/4,2/6,2/4,2/4,3/8,2/4,2/4,2/5,2/4,1/4,3/8,2/4,1/5,2/5,2/6,2/4,1/5,1/5,2/5,2/5,2/6,1/4,3/6,1/3,2/6,NULL,NULL,NULL,NULL,NULL
48,Direction Sense,IN,RE,,IN/RE,perception,NULL,2/4,1/4,1/4,1/4,1/4,1/4,1/3,1/4,2/4,1/4,1/3,1/3,1/4,1/4,2/4,1/4,2/4,1/4,2/4,1/2,1/5,2/4,2/4,2/4,1/4,1/5,1/4,2/4,1/4,2/4,2/4,2/4,1/3,1/3,1/3,1/2,1/2,1/4,2/4,2/5,2/5,1/4,1/2,NULL,NULL,NULL,NULL,NULL
49,Disarm Foe: Armed,AG,NULL,NULL,AG,arms,NULL,6,5,2/5,2/5,3/6,2/5,1/3,2/5,7,2/5,4,2/3,5,2/5,6,5,3,2/5,2/5,4,4,6,6,6,6,6,5,5,5,7,7,7,9,6,6,6,9,6,6,5,5,2/5,2/5,NULL,NULL,NULL,NULL,NULL
50,Disarm Foe: Unarmed,AG,NULL,NULL,AG,arms,NULL,9,7,3/8,2/4,2/5,3/6,1/4,3/6,6,3/7,5,1/5,6,3/6,9,4,2/4,3/7,4,5,6,9,8,9,9,9,9,7,7,9,9,3,9,3,3,8,9,8,9,7,7,3/6,3/6,NULL,NULL,NULL,NULL,NULL
51,Disarm Trap,IN,AG,,IN/AG,subterfuge,NULL,4,8,2/5,1/3,3,3/8,3/6,2/5,3/9,1/3,3/6,3/9,4,2/6,1/5,5,4,3/7,7,4,4,7,7,7,7,7,8,7,7,8,7,8,8,7,7,7,6,7,7,7,8,2/5,2/5,NULL,NULL,NULL,NULL,NULL
52,Disguise,PR,SD,,PR/SD,subterfuge,NULL,3/6,2/7,3/7,1/3,1/3,2/6,1/4,2/5,2/7,1/3,1/4,2/5,1/5,2/6,3/6,2/6,2/6,1/3,3/6,2/6,2/6,3/6,2/7,3/6,3/6,3/6,1/3,2/7,2/7,2/7,2/7,2/6,2/7,2/6,2/6,2/7,5,1/2,2/7,2/5,2/7,1/3,2/6,NULL,NULL,NULL,NULL,NULL
53,Distance Running,CO,,,CO,athletic,NULL,3,3,2/4,1/3,1/4,2/4,1/4,2/5,3,1/3,2/5,1/5,2/6,2/5,3,1/2,2/6,1/3,2/5,2/6,2/7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2/5,2/4,NULL,NULL,NULL,NULL,NULL
54,Divination,IN,EM,,IN/EM,magical,NULL,2/4,2/4,3/6,3/6,3/5,3/6,3/5,3/6,2/5,3/6,2/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/6,2/4,2/5,2/4,1/4,1/4,2/4,1/5,2/5,2/5,1/4,2/5,1/4,2/4,1/3,1/4,1/5,1/4,1/5,1/4,1/3,3/6,3/6,NULL,NULL,NULL,NULL,NULL
55,Diving,SD,AG,,SD/AG,athletic,NULL,3,2/5,2/6,1/3,1/3,2/6,2/5,2/4,3,1/3,2/5,1/4,2/5,2/4,3,1/3,2/4,2/4,2/6,2/5,2/6,3,3,3,3,3,3,2/5,2/5,2/5,3,3,3,3,3,3,3,3,3,3,4,1/3,2/6,NULL,NULL,NULL,NULL,NULL
56,Dowsing,EM,,,EM,concentration,NULL,2/5,1/3,2/5,3/6,3/6,3/7,2/5,3/6,3/6,3/5,3/5,2/5,2/5,3/7,2/5,2/4,2/4,3/5,3/6,2/4,3/7,1/3,1/4,1/3,2/5,2/5,2/5,2/4,1/2,2/5,1/5,2/5,3/6,2/4,1/4,2/5,1/4,1/4,2/5,3/6,2/6,3/6,2/4,NULL,NULL,NULL,NULL,NULL
57,Drafting,RE,ME,,RE/ME,academic,NULL,1/3,3/7,3/6,2/5,2/5,3/6,2/4,2/5,1/4,2/4,2/4,2/4,2/4,2/5,1/4,3,1/3,2/4,3/7,3/7,2/5,2/4,2/5,2/5,1/3,2/5,2/5,2/4,3/6,3/6,3/6,3/6,1/3,2/4,2/4,2/4,3/7,2/4,2/5,3/7,3/6,2/5,3/7,NULL,NULL,NULL,NULL,NULL
58,Dragon Lore,ME,RE,,ME/RE,academic,NULL,1/3,1/3,2,4,5,2,5,2,1/4,4,4,3,2/5,4,1/4,2/5,2/5,2,1/4,1/3,2/7,1/3,1/3,1/3,1/3,1/3,1/3,1/4,1/3,2/5,1/5,2/6,1/3,2/4,3/4,1/4,2/5,1/4,2/4,2/4,1/4,2,3,NULL,NULL,NULL,NULL,NULL
59,Driving,AG,QU,,AG/QU,outdoor,NULL,3,2,1/3,2/6,2/7,1/4,2/6,1/5,2/6,2/6,1/2,2/6,2/7,1/4,3,3,2/7,3,2/6,2/7,2/4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,5,3,3,3,3,1/5,2/7,NULL,NULL,NULL,NULL,NULL
60,Drug Tolerance,CO,SD,,CO/SD,medical,NULL,2/5,3,3,3/5,2/3,3/5,1/5,2/6,2/4,1/4,2/6,2/5,2/5,3,3/6,2/5,1/5,1/3,3/6,3/6,3/5,3/6,3/6,3/6,3/6,3/6,3/6,3/6,3,2/5,2/5,2/5,3/6,3/6,3/6,3/6,3/5,3/6,3/6,2/5,2/5,1/4,3/5,NULL,NULL,NULL,NULL,NULL
61,Duping,PR,,,PR,social,NULL,3/5,3/6,2/4,2/4,1/4,2/6,3/7,1/4,2/6,2/4,1/3,2/6,1/4,2/6,3/5,3/5,2/6,2/4,2/4,2/6,2/7,3/5,2/5,3/5,2/5,2/5,3/5,3/6,3/6,3/6,2/4,2/6,2/4,2/6,2/4,2/6,2/6,1/4,2/5,1/4,1/4,1/4,2/6,NULL,NULL,NULL,NULL,NULL
